,State,District,Positive_cases
0,ANDAMAN AND NICOBAR ISLAND,ANDAMAN,10
1,ANDHRA PRADESH,ANANTAPUR,2
2,ANDHRA PRADESH,CHITTOOR,10
3,ANDHRA PRADESH,EAST GODAVARI,11
4,ANDHRA PRADESH,GUNTUR,30
5,ANDHRA PRADESH,KADAPA,23
6,ANDHRA PRADESH,KRISHNA,27
7,ANDHRA PRADESH,KURNOOL,4
8,ANDHRA PRADESH,NELLORE,32
9,ANDHRA PRADESH,PRAKASAM,21
10,ANDHRA PRADESH,VISAKHAPATNAM,15
11,ANDHRA PRADESH,WEST GODAVARI,15
12,ARUNACHAL PRADESH,LOHIT,1
13,ASSAM,CACHAR,1
14,ASSAM,DHUBRI,1
15,ASSAM,GOALPARA,3
16,ASSAM,GOLAGHAT,9
17,ASSAM,KAMRUP,1
18,ASSAM,KAMRUP METRO,1
19,ASSAM,KARIMGANJ,1
20,ASSAM,LAKHIMPUR,1
21,ASSAM,MARIGAON,4
22,ASSAM,NALBARI,4
23,BIHAR,BEGUSARAI,1
24,BIHAR,GAYA,4
25,BIHAR,GOPALGANJ,3
26,BIHAR,LAKHISARAI,1
27,BIHAR,MUNGER,8
28,BIHAR,NALANDA,1
29,BIHAR,PATNA,5
30,BIHAR,SARAN,1
31,BIHAR,SIWAN,6
32,CHANDIGARH UT,CHANDIGARH,18
33,CHHATISGARH,BILASPUR,1
34,DELHI,CENTRAL DELHI,18
35,DELHI,EAST DELHI,16
36,DELHI,NEW DELHI,17
37,DELHI,NORTH DELHI,19
38,DELHI,NORTH EAST DELHI,11
39,DELHI,NORTH WEST DELHI,11
40,DELHI,SHAHADARA,26
41,DELHI,SOUTH DELHI,320
42,DELHI,SOUTH EAST,26
43,DELHI,SOUTH WEST DELHI,16
44,DELHI,WEST DELHI,23
45,GOA,NORTH GOA,6
46,GOA,SOUTH GOA,1
47,GUJARAT,AHMEDABAD,53
48,GUJARAT,BHAVNAGAR,11
49,GUJARAT,CHHOTA UDEPUR,1
50,GUJARAT,GANDHI NAGAR,13
51,GUJARAT,GIR SOMNATH,2
52,GUJARAT,KUTCH,1
53,GUJARAT,MAHESANA,1
54,GUJARAT,PANCHMAHAL,1
55,GUJARAT,PATAN,1
56,GUJARAT,PORBANDAR,3
57,GUJARAT,RAJKOT,10
58,GUJARAT,SURAT,15
59,GUJARAT,VADODARA,10
60,HARYANA,AMBALA,4
61,HARYANA,FARIDABAD,6
62,HARYANA,GURGAON,29
63,HARYANA,HISSAR,1
64,HARYANA,KARNAL,1
65,HARYANA,NUH,3
66,HARYANA,PALWAL,4
67,HARYANA,PANCHKULA,2
68,HARYANA,PANIPAT,4
69,HARYANA,ROHTAK,1
70,HARYANA,SIRSA,3
71,HARYANA,SONEPAT,1
72,HIMACHAL PRADESH,KANGRA,3
73,JAMMU AND KASHMIR,BADGAM,9
74,JAMMU AND KASHMIR,BANDIPORA,17
75,JAMMU AND KASHMIR,BARAMULLA,14
76,JAMMU AND KASHMIR,GANDERBAL,1
77,JAMMU AND KASHMIR,JAMMU,9
78,JAMMU AND KASHMIR,KUPWARA,6
79,JAMMU AND KASHMIR,PULWAMA,4
80,JAMMU AND KASHMIR,RAJOURI,3
81,JAMMU AND KASHMIR,SHOPIAN,6
82,JAMMU AND KASHMIR,SRINAGAR,28
83,JAMMU AND KASHMIR,UDHAMPUR,9
84,JHARKHAND,BOKARO,1
85,JHARKHAND,HAZARIBAGH,1
86,JHARKHAND,RANCHI,1
87,KARNATAKA,BAGALKOTE,1
88,KARNATAKA,BALLARI,5
89,KARNATAKA,BBMP,33
90,KARNATAKA,BELAGAVI,3
91,KARNATAKA,BENGALURU (R),2
92,KARNATAKA,BENGALURU (U),22
93,KARNATAKA,BIDAR,10
94,KARNATAKA,CHIKKABALLAPUR,7
95,KARNATAKA,DAKSHIN KANNADA,11
96,KARNATAKA,DAVANAGERE,3
97,KARNATAKA,DHARWAD,1
98,KARNATAKA,KALBURGI,5
99,KARNATAKA,KODAGU,1
100,KARNATAKA,MYSURU,27
101,KARNATAKA,TUMAKURU,1
102,KARNATAKA,UDUPI,4
103,KARNATAKA,UTTARA KANNADA,8
104,KERALA*,ALAPPUZHA,3
105,KERALA*,PALAKKAD,7
106,KERALA*,PATHANAMTHITTA,11
107,KERALA*,THIRUVANANTHAPURAM,14
108,KERALA*,THRISSUR,13
109,KERALA*,WYANAD,3
110,LADAKH,KARGIL,3
111,LADAKH,LEH  (LADAKH),11
112,MADHYA PRADESH,BHOPAL,19
113,MADHYA PRADESH,CHINDWARA,2
114,MADHYA PRADESH,GWALIOR,2
115,MADHYA PRADESH,INDORE,110
116,MADHYA PRADESH,JABALPUR,8
117,MADHYA PRADESH,KHARGON,1
118,MADHYA PRADESH,MORENA,14
119,MADHYA PRADESH,SHIVPURI,2
120,MADHYA PRADESH,UJJAIN,7
121,MAHARASHTRA,AHMEDNAGAR,17
122,MAHARASHTRA,AURANGABAD,3
123,MAHARASHTRA,BULDHANA,4
124,MAHARASHTRA,GONDIA,1
125,MAHARASHTRA,JALGAON,1
126,MAHARASHTRA,KOLHAPUR,2
127,MAHARASHTRA,MUMBAI,298
128,MAHARASHTRA,MUMBAI SUB Ur,21
129,MAHARASHTRA,NAGPUR,18
130,MAHARASHTRA,NASHIK,1
131,MAHARASHTRA,OSMANABAD,1
132,MAHARASHTRA,PALAGHAR,3
133,MAHARASHTRA,PUNE,62
134,MAHARASHTRA,RAIGAD,2
135,MAHARASHTRA,RATNAGIRI,1
136,MAHARASHTRA,SANGLI,24
137,MAHARASHTRA,SATARA,3
138,MAHARASHTRA,SINDHUDURG (KUDAL),1
139,MAHARASHTRA,THANE,23
140,MAHARASHTRA,YAVATMAL,4
141,MANIPUR,IMPHAL EAST,1
142,MANIPUR,IMPHAL WEST,1
143,MIZORAM,AIZWAL WEST,1
